trip_month,half_of_the_month,average_trip_distance,average_total_amount
1,1,3.3097389458996176,19.47190485205329
2,1,3.0105515273484746,19.08862044917259
3,1,3.30416478130418,20.14029610099272
4,1,3.476682642475318,20.9119712971769
5,1,3.591029329755006,21.253227661201922
6,1,3.635475440582066,21.824944705041755
1,2,3.035176919854444,18.73221775913548
2,2,3.268536761462435,19.75484134406387
3,2,3.4389797477583124,20.607489614505237
4,2,3.5167416640965343,20.85583423816722
5,2,3.7264398061072552,22.011530746606496
6,2,3.749754256265424,21.57611468105016
