Day,Month,Percentage,Rank
29,1,22.022357847919814,1
21,1,19.56390121061928,3
26,1,19.484120341054503,5
5,2,19.663075402676995,2
9,2,19.56392453815029,4
9,3,19.767443693171906,1
11,3,19.53789925929014,3
3,3,19.50354804498046,5
15,1,19.662809715963164,2
22,1,19.54024171613839,4
4,2,19.798141270306893,1
10,2,19.591533747272575,3
17,2,19.533325853688606,5
30,3,19.59172898710209,2
10,3,19.509064304073622,4
1,4,19.397805383810187,1
7,4,19.385192491475873,2
6,4,19.332399038867536,3
27,4,19.24030500725275,4
5,4,19.220346803835497,5
4,5,19.412905705600934,1
12,5,19.380887883237357,2
11,5,19.22099371262701,3
10,5,19.172714783449134,4
6,5,19.139178156487922,5
16,6,19.236511937893212,1
23,6,19.18047206880053,2
8,6,19.10185844337792,3
9,6,19.096536939342606,4
17,6,19.05463372430382,5
